,Unnamed: 0,original_idx,statement,label,n1,n2,diff,abs_diff
0,0,44,Fifty-two is larger than fifty-one.,1,52,51,1,1
1,4,133,Fifty-four is larger than fifty-two.,1,54,52,2,2
2,8,178,Fifty-five is larger than fifty-three.,1,55,53,2,2
3,12,222,Fifty-six is larger than fifty-three.,1,56,53,3,3
4,16,265,Fifty-seven is larger than fifty-two.,1,57,52,5,5
5,20,269,Fifty-seven is larger than fifty-six.,1,57,56,1,1
6,24,311,Fifty-eight is larger than fifty-four.,1,58,54,4,4
7,28,352,Fifty-nine is larger than fifty-one.,1,59,51,8,8
8,32,356,Fifty-nine is larger than fifty-five.,1,59,55,4,4
9,36,396,Sixty-one is larger than fifty-one.,1,61,51,10,10
10,40,400,Sixty-one is larger than fifty-five.,1,61,55,6,6
11,44,404,Sixty-one is larger than fifty-nine.,1,61,59,2,2
12,48,443,Sixty-two is larger than fifty-four.,1,62,54,8,8
13,52,447,Sixty-two is larger than fifty-eight.,1,62,58,4,4
14,56,485,Sixty-three is larger than fifty-two.,1,63,52,11,11
15,60,489,Sixty-three is larger than fifty-six.,1,63,56,7,7
16,64,493,Sixty-three is larger than sixty-one.,1,63,61,2,2
17,68,530,Sixty-four is larger than fifty-three.,1,64,53,11,11
18,72,534,Sixty-four is larger than fifty-seven.,1,64,57,7,7
19,76,538,Sixty-four is larger than sixty-two.,1,64,62,2,2
20,80,574,Sixty-five is larger than fifty-three.,1,65,53,12,12
21,84,578,Sixty-five is larger than fifty-seven.,1,65,57,8,8
22,88,582,Sixty-five is larger than sixty-two.,1,65,62,3,3
23,92,617,Sixty-six is larger than fifty-two.,1,66,52,14,14
24,96,621,Sixty-six is larger than fifty-six.,1,66,56,10,10
25,100,625,Sixty-six is larger than sixty-one.,1,66,61,5,5
26,104,629,Sixty-six is larger than sixty-five.,1,66,65,1,1
27,108,663,Sixty-seven is larger than fifty-four.,1,67,54,13,13
28,112,667,Sixty-seven is larger than fifty-eight.,1,67,58,9,9
29,116,671,Sixty-seven is larger than sixty-three.,1,67,63,4,4
30,120,704,Sixty-eight is larger than fifty-one.,1,68,51,17,17
31,124,708,Sixty-eight is larger than fifty-five.,1,68,55,13,13
32,128,712,Sixty-eight is larger than fifty-nine.,1,68,59,9,9
33,132,716,Sixty-eight is larger than sixty-four.,1,68,64,4,4
34,136,748,Sixty-nine is larger than fifty-one.,1,69,51,18,18
35,140,752,Sixty-nine is larger than fifty-five.,1,69,55,14,14
36,144,756,Sixty-nine is larger than fifty-nine.,1,69,59,10,10
37,148,760,Sixty-nine is larger than sixty-four.,1,69,64,5,5
38,152,764,Sixty-nine is larger than sixty-eight.,1,69,68,1,1
39,156,795,Seventy-one is larger than fifty-four.,1,71,54,17,17
40,160,799,Seventy-one is larger than fifty-eight.,1,71,58,13,13
41,164,803,Seventy-one is larger than sixty-three.,1,71,63,8,8
42,168,807,Seventy-one is larger than sixty-seven.,1,71,67,4,4
43,172,837,Seventy-two is larger than fifty-two.,1,72,52,20,20
44,176,841,Seventy-two is larger than fifty-six.,1,72,56,16,16
45,180,845,Seventy-two is larger than sixty-one.,1,72,61,11,11
46,184,849,Seventy-two is larger than sixty-five.,1,72,65,7,7
47,188,853,Seventy-two is larger than sixty-nine.,1,72,69,3,3
48,192,882,Seventy-three is larger than fifty-three.,1,73,53,20,20
49,196,886,Seventy-three is larger than fifty-seven.,1,73,57,16,16
50,200,890,Seventy-three is larger than sixty-two.,1,73,62,11,11
51,204,894,Seventy-three is larger than sixty-six.,1,73,66,7,7
52,208,898,Seventy-three is larger than seventy-one.,1,73,71,2,2
53,212,926,Seventy-four is larger than fifty-three.,1,74,53,21,21
54,216,930,Seventy-four is larger than fifty-seven.,1,74,57,17,17
55,220,934,Seventy-four is larger than sixty-two.,1,74,62,12,12
56,224,938,Seventy-four is larger than sixty-six.,1,74,66,8,8
57,228,942,Seventy-four is larger than seventy-one.,1,74,71,3,3
58,232,969,Seventy-five is larger than fifty-two.,1,75,52,23,23
59,236,973,Seventy-five is larger than fifty-six.,1,75,56,19,19
60,240,977,Seventy-five is larger than sixty-one.,1,75,61,14,14
61,244,981,Seventy-five is larger than sixty-five.,1,75,65,10,10
62,248,985,Seventy-five is larger than sixty-nine.,1,75,69,6,6
63,252,989,Seventy-five is larger than seventy-four.,1,75,74,1,1
64,256,1015,Seventy-six is larger than fifty-four.,1,76,54,22,22
65,260,1019,Seventy-six is larger than fifty-eight.,1,76,58,18,18
66,264,1023,Seventy-six is larger than sixty-three.,1,76,63,13,13
67,268,1027,Seventy-six is larger than sixty-seven.,1,76,67,9,9
68,272,1031,Seventy-six is larger than seventy-two.,1,76,72,4,4
69,276,1056,Seventy-seven is larger than fifty-one.,1,77,51,26,26
70,280,1060,Seventy-seven is larger than fifty-five.,1,77,55,22,22
71,284,1064,Seventy-seven is larger than fifty-nine.,1,77,59,18,18
72,288,1068,Seventy-seven is larger than sixty-four.,1,77,64,13,13
73,292,1072,Seventy-seven is larger than sixty-eight.,1,77,68,9,9
74,296,1076,Seventy-seven is larger than seventy-three.,1,77,73,4,4
75,300,1100,Seventy-eight is larger than fifty-one.,1,78,51,27,27
76,304,1104,Seventy-eight is larger than fifty-five.,1,78,55,23,23
77,308,1108,Seventy-eight is larger than fifty-nine.,1,78,59,19,19
78,312,1112,Seventy-eight is larger than sixty-four.,1,78,64,14,14
79,316,1116,Seventy-eight is larger than sixty-eight.,1,78,68,10,10
80,320,1120,Seventy-eight is larger than seventy-three.,1,78,73,5,5
